City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ugoofaaru,5.67,73.0,82.83,70,75,5.97,MV,2019-11-12 01:08:57
1,Corvallis,44.56,-123.26,59.0,66,1,2.98,US,2019-11-12 01:08:57
2,Lebu,8.96,38.73,51.8,66,20,6.93,ET,2019-11-12 01:08:58
3,Rikitea,-23.12,-134.97,67.75,94,100,34.96,PF,2019-11-12 01:08:58
4,Babstovo,48.12,132.48,26.26,58,0,11.03,RU,2019-11-12 01:08:58
5,Kodiak,39.95,-94.76,18.0,61,1,12.75,US,2019-11-12 01:08:58
6,Puerto Ayora,-0.74,-90.35,78.8,57,1,5.82,EC,2019-11-12 01:08:59
7,Honiara,-9.43,159.96,87.8,70,20,5.82,SB,2019-11-12 01:08:59
8,Bambanglipuro,-7.95,110.28,80.02,70,56,8.57,ID,2019-11-12 01:08:59
9,Busselton,-33.64,115.35,64.0,56,0,3.0,AU,2019-11-12 01:08:59
10,Isla Vista,34.41,-119.86,70.0,77,1,4.7,US,2019-11-12 01:08:59
11,Bubaque,11.28,-15.83,83.5,63,100,7.78,GW,2019-11-12 01:09:00
12,Avarua,-21.21,-159.78,77.0,78,33,17.22,CK,2019-11-12 01:09:00
13,Grindavik,63.84,-22.43,41.0,86,90,8.05,IS,2019-11-12 01:09:00
14,Tasiilaq,65.61,-37.64,39.2,69,100,32.21,GL,2019-11-12 01:09:00
15,Kaeo,-35.1,173.78,64.99,59,18,11.01,NZ,2019-11-12 01:09:01
16,Puerto Narino,-3.77,-70.38,77.0,100,40,2.24,CO,2019-11-12 01:09:01
17,Yuzawa,39.05,140.54,55.4,71,75,9.17,JP,2019-11-12 01:09:01
18,Hobart,-42.88,147.33,57.0,56,40,17.22,AU,2019-11-12 01:09:02
19,Tuktoyaktuk,69.44,-133.03,15.8,78,90,16.11,CA,2019-11-12 01:09:03
20,Tiksi,71.64,128.87,-3.54,89,100,4.83,RU,2019-11-12 01:09:03
21,Mar Del Plata,-46.43,-67.52,56.71,70,0,11.56,AR,2019-11-12 01:09:03
22,Sitka,37.17,-99.65,27.21,33,50,10.98,US,2019-11-12 01:09:04
23,Mataura,-46.19,168.86,59.86,43,20,2.89,NZ,2019-11-12 01:09:04
24,Longyearbyen,78.22,15.63,33.8,69,75,24.16,NO,2019-11-12 01:09:04
25,Hami,42.84,93.51,34.9,33,100,8.88,CN,2019-11-12 01:09:04
26,Airai,-8.93,125.41,84.22,19,0,5.23,TL,2019-11-12 01:09:05
27,Ahipara,-35.17,173.16,59.34,64,0,23.17,NZ,2019-11-12 01:09:05
28,Punta Arenas,-53.16,-70.91,48.2,76,2,4.7,CL,2019-11-12 01:09:06
29,Zadar,44.12,15.24,60.01,93,75,6.93,HR,2019-11-12 01:09:06
30,Tateyama,36.66,137.31,64.0,77,20,3.36,JP,2019-11-12 01:09:06
31,Kununurra,-15.77,128.74,96.8,19,8,9.17,AU,2019-11-12 01:09:06
32,Dingle,11.0,122.67,77.67,87,91,8.34,PH,2019-11-12 01:09:06
33,North Bend,43.41,-124.22,61.0,87,1,10.29,US,2019-11-12 01:09:07
34,Joensuu,62.6,29.76,33.01,100,90,10.29,FI,2019-11-12 01:09:07
35,Qaanaaq,77.48,-69.36,4.75,48,0,2.82,GL,2019-11-12 01:09:07
36,Zvishavane,-20.32,30.05,67.41,79,100,0.22,ZW,2019-11-12 01:09:07
37,Yining,29.04,114.56,59.25,57,95,2.24,CN,2019-11-12 01:09:07
38,Codrington,-28.95,153.24,91.0,29,0,12.75,AU,2019-11-12 01:09:08
39,Katsuura,33.93,134.5,64.4,59,20,9.17,JP,2019-11-12 01:09:08
40,Chuy,-33.69,-53.46,61.41,79,28,11.68,UY,2019-11-12 01:09:08
41,Cidreira,-30.17,-50.22,68.99,84,69,26.46,BR,2019-11-12 01:09:08
42,Sao Paulo De Olivenca,-3.38,-68.87,75.67,87,37,3.91,BR,2019-11-12 01:09:08
43,Olinda,-37.84,145.39,61.0,47,75,23.04,AU,2019-11-12 01:09:09
44,Moranbah,-22.0,148.04,83.98,26,27,3.98,AU,2019-11-12 01:09:09
45,Makakilo City,21.35,-158.09,86.0,69,90,8.05,US,2019-11-12 01:09:09
46,Hithadhoo,-0.6,73.08,81.84,78,80,11.7,MV,2019-11-12 01:09:09
47,Vaini,15.34,74.49,64.4,88,0,5.97,IN,2019-11-12 01:09:10
48,Namibe,-15.19,12.15,72.64,76,9,4.0,AO,2019-11-12 01:09:10
49,Plouzane,48.38,-4.62,48.99,87,94,5.82,FR,2019-11-12 01:09:10
50,Tuatapere,-46.13,167.69,63.43,33,81,1.83,NZ,2019-11-12 01:09:10
51,Port Alfred,-33.59,26.89,64.0,97,99,8.01,ZA,2019-11-12 01:09:10
52,Dikson,73.51,80.55,4.33,94,87,4.92,RU,2019-11-12 01:09:11
53,Palatka,60.1,150.94,10.38,72,59,4.76,RU,2019-11-12 01:09:11
54,Maniitsoq,65.42,-52.9,33.57,83,100,13.06,GL,2019-11-12 01:09:11
55,Kensington,46.44,-63.64,32.0,68,90,4.7,CA,2019-11-12 01:09:11
56,Kapaa,22.08,-159.32,84.2,65,75,3.36,US,2019-11-12 01:09:11
57,Sisimiut,66.94,-53.67,26.74,59,99,8.1,GL,2019-11-12 01:09:12
58,New Norfolk,-42.78,147.06,57.0,59,40,17.22,AU,2019-11-12 01:09:12
59,Saint-Philippe,45.36,-73.48,21.99,85,90,11.41,CA,2019-11-12 01:09:12
60,Shelburne,44.08,-80.2,23.0,85,90,2.24,CA,2019-11-12 01:05:15
61,Torbay,47.66,-52.73,44.01,93,90,16.11,CA,2019-11-12 01:09:13
62,Kaitangata,-46.28,169.85,57.99,56,19,11.99,NZ,2019-11-12 01:09:13
63,Ushuaia,-54.81,-68.31,48.2,70,20,18.34,AR,2019-11-12 01:09:13
64,Khakhea,-24.69,23.5,73.74,61,72,8.7,BW,2019-11-12 01:09:13
65,Murgab,37.5,61.97,35.6,74,0,4.5,TM,2019-11-12 01:09:13
66,Port Hardy,50.7,-127.42,46.4,93,90,16.11,CA,2019-11-12 01:09:14
67,Tiznit,29.7,-9.73,59.63,38,78,1.88,MA,2019-11-12 01:09:15
68,Kasama,-10.21,31.19,65.32,76,66,3.47,ZM,2019-11-12 01:09:15
69,Dahra,36.25,0.85,50.0,87,75,9.42,DZ,2019-11-12 01:09:15
70,Cape Town,-33.93,18.42,64.99,88,90,3.36,ZA,2019-11-12 01:09:15
71,Arraial Do Cabo,-22.97,-42.02,71.6,88,90,5.82,BR,2019-11-12 01:09:16
72,Watsa,3.04,29.53,66.56,98,100,2.21,CD,2019-11-12 01:09:16
73,Thompson,55.74,-97.86,-4.01,76,20,5.82,CA,2019-11-12 01:09:16
74,Hermanus,-34.42,19.24,64.0,95,97,1.99,ZA,2019-11-12 01:09:16
75,Bluff,-23.58,149.07,83.17,38,13,8.37,AU,2019-11-12 01:09:16
76,Phon Thong,16.3,103.98,73.4,83,75,3.2,TH,2019-11-12 01:09:17
77,Albany,42.65,-73.75,39.99,74,90,12.75,US,2019-11-12 01:09:17
78,Taoudenni,22.68,-3.98,65.97,21,0,10.27,ML,2019-11-12 01:09:17
79,Preobrazheniye,42.9,133.91,35.78,62,0,4.72,RU,2019-11-12 01:09:17
80,Pishin,30.58,67.0,47.88,56,90,4.85,PK,2019-11-12 01:09:17
81,Upernavik,72.79,-56.15,23.65,65,96,3.4,GL,2019-11-12 01:09:18
82,Atuona,-9.8,-139.03,80.31,64,14,5.26,PF,2019-11-12 01:09:18
83,Manyana,-35.26,150.51,91.4,6,65,23.04,AU,2019-11-12 01:09:18
84,Bambous Virieux,-20.34,57.76,75.2,88,75,5.82,MU,2019-11-12 01:09:18
85,Manbij,36.53,37.96,42.8,48,100,6.93,SY,2019-11-12 01:09:19
86,Vila Velha,-3.71,-38.6,86.0,74,0,10.29,BR,2019-11-12 01:09:19
87,Roald,62.58,6.12,28.4,63,33,16.11,NO,2019-11-12 01:09:19
88,Wewak,-3.55,143.63,82.42,68,100,3.15,PG,2019-11-12 01:09:19
89,Kupang,-10.16,123.6,87.8,58,20,8.05,ID,2019-11-12 01:09:19
90,Maceio,-9.67,-35.74,75.2,88,0,6.93,BR,2019-11-12 01:06:43
91,Slave Lake,55.28,-114.77,10.4,85,1,2.24,CA,2019-11-12 01:09:20
92,Touros,-5.2,-35.46,77.0,83,20,6.93,BR,2019-11-12 01:09:21
93,Shimoda,34.7,138.93,68.0,64,20,5.82,JP,2019-11-12 01:09:21
94,Ribeira Grande,38.52,-28.7,60.82,82,25,5.57,PT,2019-11-12 01:09:21
95,Salalah,17.01,54.1,75.2,69,0,4.7,OM,2019-11-12 01:09:21
96,Barrow,-38.31,-60.23,67.93,52,97,9.08,AR,2019-11-12 01:09:22
97,Naze,5.43,7.07,73.96,95,98,2.68,NG,2019-11-12 01:09:22
98,Hambantota,6.12,81.12,75.2,100,20,2.24,LK,2019-11-12 01:09:22
99,Seminole,32.72,-102.64,32.0,37,90,16.11,US,2019-11-12 01:09:22
100,Butaritari,3.07,172.79,79.59,78,100,9.37,KI,2019-11-12 01:09:22
101,Isangel,-19.55,169.27,80.6,54,20,16.11,VU,2019-11-12 01:08:00
102,Rundu,-17.91,19.77,69.8,64,98,3.8,NA,2019-11-12 01:09:23
103,Jamestown,-33.21,138.6,56.57,46,19,16.42,AU,2019-11-12 01:09:23
104,Victoria,5.28,115.24,84.2,79,75,5.82,BN,2019-11-12 01:06:48
105,Nome,30.04,-94.42,69.8,93,90,23.04,US,2019-11-12 01:09:23
106,Mount Isa,-20.73,139.49,95.0,6,53,8.05,AU,2019-11-12 01:09:24
107,Benghazi,32.12,20.07,78.48,34,100,30.15,LY,2019-11-12 01:09:24
108,Provideniya,64.42,-173.23,35.6,93,90,20.13,RU,2019-11-12 01:09:24
109,Hearst,49.69,-83.67,3.69,94,100,3.4,CA,2019-11-12 01:09:24
110,Chokurdakh,70.62,147.9,7.16,95,100,4.12,RU,2019-11-12 01:09:24
111,Puerto Del Rosario,28.5,-13.86,69.8,68,75,23.04,ES,2019-11-12 01:09:25
112,Belgrade,44.82,20.46,51.8,76,65,14.99,RS,2019-11-12 01:09:25
113,Saint George,39.45,22.34,59.0,87,75,1.05,GR,2019-11-12 01:09:25
114,Mahebourg,-20.41,57.7,75.2,88,75,5.82,MU,2019-11-12 01:09:25
115,Sao Joao Do Paraiso,-15.31,-42.01,71.08,57,21,5.99,BR,2019-11-12 01:09:25
116,Vardo,39.62,-77.74,59.0,54,1,7.02,US,2019-11-12 01:09:26
117,Lavrentiya,65.58,-170.99,33.28,89,100,14.25,RU,2019-11-12 01:09:26
118,Tual,-5.67,132.75,82.04,75,66,2.33,ID,2019-11-12 01:09:26
119,Palana,59.08,159.95,24.76,90,93,6.6,RU,2019-11-12 01:09:26
120,Rongcheng,37.16,122.42,56.59,54,64,7.07,CN,2019-11-12 01:09:27
121,Suruc,36.98,38.42,50.0,37,100,9.17,TR,2019-11-12 01:09:27
122,San Jose,14.25,-87.96,65.55,90,29,3.24,HN,2019-11-12 01:09:27
123,Dourdan,48.53,2.01,41.0,93,75,6.93,FR,2019-11-12 01:09:27
124,Carnarvon,-30.97,22.13,57.97,46,0,9.15,ZA,2019-11-12 01:09:28
125,Tenerife,9.9,-74.86,75.61,93,100,6.8,CO,2019-11-12 01:09:28
126,Nikolskoye,59.7,30.79,37.4,93,75,11.18,RU,2019-11-12 01:09:29
127,Castro,-42.48,-73.76,57.2,76,22,5.82,CL,2019-11-12 01:09:29
128,Bredasdorp,-34.53,20.04,64.0,93,100,16.11,ZA,2019-11-12 01:09:32
129,Poco Verde,-10.71,-38.18,71.67,83,86,9.57,BR,2019-11-12 01:09:32
130,Yaan,7.38,8.57,78.58,79,100,10.2,NG,2019-11-12 01:09:32
131,Yulara,-25.24,130.99,82.4,20,10,14.99,AU,2019-11-12 01:09:32
132,Ust-Kut,56.78,105.75,-6.74,91,100,8.79,RU,2019-11-12 01:09:32
133,Hilo,19.71,-155.08,84.2,62,1,8.05,US,2019-11-12 01:09:33
134,Taltal,-25.41,-70.49,57.07,84,98,3.09,CL,2019-11-12 01:09:33
135,Muravlenko,63.79,74.5,8.74,94,100,15.93,RU,2019-11-12 01:09:33
136,Alexandroupoli,40.85,25.88,59.0,90,65,1.99,GR,2019-11-12 01:09:33
137,Labytnangi,66.66,66.39,-3.14,91,43,9.26,RU,2019-11-12 01:09:33
138,Serra,-20.13,-40.31,77.0,94,90,10.29,BR,2019-11-12 01:09:34
139,Zhigansk,66.77,123.37,-24.18,86,47,5.3,RU,2019-11-12 01:09:34
140,Clyde River,70.47,-68.59,14.0,92,90,29.97,CA,2019-11-12 01:09:34
141,Cabo San Lucas,22.89,-109.91,75.99,83,90,4.7,MX,2019-11-12 01:05:16
142,Yellowknife,62.45,-114.38,3.2,77,40,6.93,CA,2019-11-12 01:06:46
143,Samarai,-10.62,150.67,80.04,70,98,9.69,PG,2019-11-12 01:09:35
144,Sao Joao Da Barra,-21.64,-41.05,71.19,94,100,21.88,BR,2019-11-12 01:09:35
145,Dharchula,29.85,80.53,42.3,25,80,10.98,IN,2019-11-12 01:09:35
146,Leningradskiy,69.38,178.42,26.6,97,97,8.05,RU,2019-11-12 01:09:36
147,Tricase,39.93,18.36,63.0,100,75,10.29,IT,2019-11-12 01:09:36
148,Roebourne,-20.77,117.15,91.26,16,0,14.76,AU,2019-11-12 01:09:36
149,Norman Wells,65.28,-126.83,19.4,73,75,12.75,CA,2019-11-12 01:09:36
150,Turbat,26.0,63.05,66.11,20,0,17.0,PK,2019-11-12 01:09:36
151,Lukovetskiy,64.29,41.92,21.2,92,90,13.42,RU,2019-11-12 01:09:37
152,Nizhniy Kuranakh,58.84,125.49,-5.39,97,100,4.59,RU,2019-11-12 01:09:37
153,Guerrero Negro,27.97,-114.04,66.54,71,1,13.47,MX,2019-11-12 01:09:37
154,Vila Franca Do Campo,37.72,-25.43,59.0,87,40,2.24,PT,2019-11-12 01:09:38
155,Lisakovsk,52.55,62.49,30.58,87,95,11.18,KZ,2019-11-12 01:09:38
156,Kieta,-6.22,155.63,82.6,69,63,3.42,PG,2019-11-12 01:09:38
157,Aksarka,66.56,67.8,1.87,96,93,6.31,RU,2019-11-12 01:09:38
158,San Cristobal,14.68,-86.92,68.94,84,36,2.93,HN,2019-11-12 01:09:38
159,Marzuq,14.4,46.47,63.21,81,0,0.89,YE,2019-11-12 01:09:39
160,Georgetown,6.8,-58.16,82.4,83,75,4.7,GY,2019-11-12 01:09:39
161,Dryden,49.79,-92.84,-0.41,70,20,4.7,CA,2019-11-12 01:08:08
162,Kerema,-7.96,145.78,84.02,64,85,4.72,PG,2019-11-12 01:09:39
163,Seka,7.6,36.72,55.27,97,75,0.56,ET,2019-11-12 01:09:39
164,Pevek,69.7,170.27,12.38,88,100,2.44,RU,2019-11-12 01:09:40
165,Aloleng,16.13,119.78,77.79,84,88,2.71,PH,2019-11-12 01:09:40
166,Santiago,16.69,121.54,69.67,97,100,0.36,PH,2019-11-12 01:09:40
167,Tessalit,20.2,1.01,63.66,18,0,12.82,ML,2019-11-12 01:09:40
168,Saskylakh,71.97,114.09,-8.29,91,99,6.04,RU,2019-11-12 01:09:41
169,Saint Anthony,43.97,-111.68,42.8,45,1,3.36,US,2019-11-12 01:09:41
170,Riyadh,24.63,46.72,64.4,63,3,2.24,SA,2019-11-12 01:09:03
171,Lorengau,-2.02,147.27,78.33,87,100,4.99,PG,2019-11-12 01:09:41
172,Broome,52.47,1.45,39.99,86,86,14.99,GB,2019-11-12 01:09:41
173,Pontes E Lacerda,-15.23,-59.33,72.57,97,76,1.66,BR,2019-11-12 01:09:42
174,Chaykovskiy,56.77,54.11,28.0,96,100,4.0,RU,2019-11-12 01:09:42
175,Ilulissat,69.22,-51.1,39.2,38,100,9.17,GL,2019-11-12 01:09:42
176,Fairbanks,64.84,-147.72,24.01,79,90,0.96,US,2019-11-12 01:08:17
177,East London,-33.02,27.91,69.37,87,100,25.88,ZA,2019-11-12 01:09:42
178,Catuday,16.29,119.81,80.58,81,99,7.7,PH,2019-11-12 01:09:43
179,West Helena,34.55,-90.64,39.2,100,100,27.51,US,2019-11-12 01:09:43
180,Raton,36.9,-104.44,26.6,85,20,4.7,US,2019-11-12 01:09:43
181,Troitskoye,52.98,84.68,15.4,53,94,8.52,RU,2019-11-12 01:09:44
182,Matara,-3.48,29.48,60.57,86,100,3.0,BI,2019-11-12 01:09:44
183,Vrangel,42.73,133.08,40.23,55,0,21.65,RU,2019-11-12 01:09:44
184,Lata,30.78,78.62,26.04,30,100,5.99,IN,2019-11-12 01:09:44
185,Vostok,46.45,135.83,22.8,92,95,13.47,RU,2019-11-12 01:09:44
186,Nouakchott,18.08,-15.98,73.4,18,0,11.41,MR,2019-11-12 01:09:45
187,Urengoy,65.96,78.37,-1.31,82,100,9.91,RU,2019-11-12 01:09:45
188,Matagami,9.67,8.4,72.19,66,56,2.55,NG,2019-11-12 01:09:45
189,Santa Rosa,-36.62,-64.29,79.21,39,92,10.98,AR,2019-11-12 01:09:45
190,Xicotencatl,23.02,-98.88,80.01,77,34,10.0,MX,2019-11-12 01:09:45
191,Lagoa,37.14,-8.45,59.0,71,89,13.87,PT,2019-11-12 01:09:46
192,Rawson,-43.3,-65.11,57.0,81,100,8.55,AR,2019-11-12 01:09:46
193,Praia Da Vitoria,38.73,-27.07,57.2,93,20,7.9,PT,2019-11-12 01:09:46
194,Gorom-Gorom,14.45,-0.24,82.44,14,0,12.86,BF,2019-11-12 01:09:46
195,Sisauli,29.42,77.47,59.92,51,86,4.7,IN,2019-11-12 01:09:46
196,Mbandaka,0.05,18.26,71.04,99,100,1.9,CD,2019-11-12 01:09:47
197,Nha Trang,12.24,109.19,77.0,83,75,5.82,VN,2019-11-12 01:09:47
198,Grand Gaube,-20.01,57.66,75.2,88,75,5.82,MU,2019-11-12 01:09:48
199,Te Anau,-45.41,167.72,50.05,65,55,3.11,NZ,2019-11-12 01:09:49
200,Portland,43.66,-70.25,34.0,80,90,9.17,US,2019-11-12 01:08:12
201,Nanortalik,60.14,-45.24,30.6,92,69,18.45,GL,2019-11-12 01:09:50
202,Egvekinot,66.32,-179.17,22.5,92,97,11.74,RU,2019-11-12 01:09:51
203,Komsomolskiy,67.55,63.78,-6.51,99,60,4.97,RU,2019-11-12 01:09:51
204,Dunedin,-45.87,170.5,49.96,67,0,8.81,NZ,2019-11-12 01:09:51
205,Quatre Cocos,-20.21,57.76,75.2,88,75,5.82,MU,2019-11-12 01:09:51
206,Seoul,37.57,126.98,51.8,100,90,2.24,KR,2019-11-12 01:08:49
207,Ulladulla,-35.36,150.48,91.4,6,37,23.04,AU,2019-11-12 01:09:52
208,Khatanga,71.98,102.47,-0.12,97,100,1.97,RU,2019-11-12 01:09:52
209,Port Macquarie,-31.43,152.91,90.0,54,90,10.29,AU,2019-11-12 01:09:52
210,Salina Cruz,16.18,-95.2,83.5,76,8,13.78,MX,2019-11-12 01:09:52
211,Ozernovskiy,51.5,156.52,33.55,96,84,7.96,RU,2019-11-12 01:09:52
212,Port Lincoln,-34.72,135.86,56.16,54,100,16.53,AU,2019-11-12 01:09:53
213,San Quintin,17.54,120.52,75.13,82,69,4.47,PH,2019-11-12 01:09:53
214,Sao Filipe,14.9,-24.5,76.01,75,92,14.43,CV,2019-11-12 01:09:53
215,Fernley,39.61,-119.25,60.01,32,1,6.93,US,2019-11-12 01:06:34
216,Orel-Izumrud,43.46,39.92,62.01,76,67,8.95,RU,2019-11-12 01:09:54
217,Sicamous,50.84,-118.99,33.8,86,1,1.36,CA,2019-11-12 01:09:54
218,Vestmannaeyjar,63.44,-20.27,41.23,83,100,15.32,IS,2019-11-12 01:09:54
219,Mundo Nuevo,-32.72,-71.41,57.2,87,20,3.36,CL,2019-11-12 01:09:54
220,Erzin,36.95,36.2,64.99,81,0,2.53,TR,2019-11-12 01:09:54
221,Quesnel,52.98,-122.49,33.8,86,90,8.05,CA,2019-11-12 01:09:55
222,Flin Flon,54.77,-101.88,6.8,71,20,14.99,CA,2019-11-12 01:09:55
223,Filimonovo,54.21,39.6,45.0,99,99,4.0,RU,2019-11-12 01:09:55
224,Tautira,-17.73,-149.15,86.0,62,40,5.82,PF,2019-11-12 01:09:55
225,Pontal Do Parana,-25.67,-48.51,73.99,100,75,2.24,BR,2019-11-12 01:09:55
226,Faanui,-16.48,-151.75,78.69,81,13,15.88,PF,2019-11-12 01:09:56
227,Chamba,32.56,76.12,53.98,41,87,7.96,IN,2019-11-12 01:09:56
228,Lambarene,-0.7,10.22,74.73,96,100,4.9,GA,2019-11-12 01:09:56
229,Shatrovo,42.29,22.98,45.0,93,100,4.7,BG,2019-11-12 01:09:57
230,Bar Harbor,44.39,-68.2,32.0,92,90,10.29,US,2019-11-12 01:09:57
231,Togur,58.36,82.83,12.04,73,100,12.08,RU,2019-11-12 01:09:57
232,Port Hedland,-20.31,118.58,93.2,24,0,8.05,AU,2019-11-12 01:09:57
233,Aripuana,-9.17,-60.63,73.54,97,100,1.66,BR,2019-11-12 01:09:58
234,Narsaq,60.91,-46.05,32.0,84,89,16.11,GL,2019-11-12 01:09:58
235,Camacha,33.08,-16.33,68.0,82,75,10.29,PT,2019-11-12 01:09:58
236,Skvyra,49.73,29.66,42.8,83,20,2.51,UA,2019-11-12 01:09:58
237,Kango,0.19,10.1,74.26,99,100,2.08,GA,2019-11-12 01:09:59
238,Kursumlija,43.14,21.27,44.6,87,93,3.36,RS,2019-11-12 01:09:59
239,Aswan,24.09,32.9,78.8,47,0,9.17,EG,2019-11-12 01:09:59
240,Kamaishi,39.28,141.86,55.4,71,75,9.17,JP,2019-11-12 01:09:59
241,Bayan,36.1,102.26,27.7,48,95,5.88,CN,2019-11-12 01:10:00
242,Tolu,35.81,-94.5,27.0,85,90,11.41,US,2019-11-12 01:10:00
243,Coihaique,-45.58,-72.07,64.4,52,42,2.24,CL,2019-11-12 01:10:00
244,Honavar,14.28,74.45,71.62,76,1,5.35,IN,2019-11-12 01:10:00
245,Point Fortin,10.16,-61.68,80.6,83,20,6.93,TT,2019-11-12 01:10:00
246,Souillac,45.6,-0.6,42.8,93,100,5.82,FR,2019-11-12 01:10:01
247,Petropavlovsk-Kamchatskiy,53.05,158.65,32.0,68,0,4.47,RU,2019-11-12 01:10:01
248,Margate,-43.03,147.26,57.0,56,40,17.22,AU,2019-11-12 01:08:34
249,Oxapampa,-10.58,-75.4,51.3,97,89,1.59,PE,2019-11-12 01:10:01
250,Gerash,27.67,54.14,50.0,31,0,4.14,IR,2019-11-12 01:10:02
251,Korem,12.51,39.52,52.84,85,35,2.53,ET,2019-11-12 01:10:02
252,Pitimbu,-7.47,-34.81,75.2,88,20,5.82,BR,2019-11-12 01:10:03
253,Quchan,37.11,58.51,30.34,17,0,5.28,IR,2019-11-12 01:10:03
254,Opuwo,-18.06,13.84,73.11,36,67,3.44,NA,2019-11-12 01:10:03
255,Bisira,8.52,-81.71,67.98,94,100,5.68,PA,2019-11-12 01:10:03
256,Lingao,19.91,109.69,77.0,82,99,18.52,CN,2019-11-12 01:10:03
257,Jieshi,22.82,115.83,69.01,74,59,1.01,CN,2019-11-12 01:10:04
258,Gravdal,59.79,5.78,43.0,70,97,11.41,NO,2019-11-12 01:10:04
259,Ust-Barguzin,53.41,109.03,10.78,80,100,11.83,RU,2019-11-12 01:10:06
260,Bolivar,37.61,-93.41,21.99,85,75,10.29,US,2019-11-12 01:10:06
261,Pisco,-13.71,-76.2,66.2,82,100,12.75,PE,2019-11-12 01:10:06
262,Esperance,-33.86,121.89,59.0,54,90,13.87,AU,2019-11-12 01:10:06
263,Nivala,63.93,24.96,24.01,94,37,2.44,FI,2019-11-12 01:10:07
264,Necochea,-38.55,-58.74,61.0,90,100,1.99,AR,2019-11-12 01:10:07
265,Chisec,15.81,-90.29,74.28,94,30,2.93,GT,2019-11-12 01:10:07
266,Goroka,-6.07,145.39,68.72,72,100,1.88,PG,2019-11-12 01:10:07
267,Klaksvik,62.23,-6.59,33.8,86,98,6.93,FO,2019-11-12 01:10:08
268,Ancud,-41.87,-73.83,57.2,76,0,5.82,CL,2019-11-12 01:10:08
269,Geraldton,49.72,-86.95,-0.41,70,75,9.17,CA,2019-11-12 01:10:08
270,Cumana,10.46,-64.17,78.84,85,9,11.97,VE,2019-11-12 01:10:08
271,Boguchany,58.38,97.46,-6.71,90,100,7.85,RU,2019-11-12 01:10:09
272,Spasskoye,55.86,45.7,36.79,95,76,11.56,RU,2019-11-12 01:10:10
273,Bacolod,10.68,122.95,78.35,83,98,6.15,PH,2019-11-12 01:10:10
274,Whitehorse,60.72,-135.06,10.99,78,75,2.24,CA,2019-11-12 01:09:35
275,Ponta Do Sol,-20.63,-46.0,70.03,86,92,5.68,BR,2019-11-12 01:10:10
276,Kabompo,-13.6,24.21,66.42,95,71,2.51,ZM,2019-11-12 01:10:11
277,Comodoro Rivadavia,-45.87,-67.48,55.4,82,29,2.24,AR,2019-11-12 01:10:11
